user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape,considered,posted,status_id_post,text_post,timestamp_post
x43139414,RealSkipBayless,2018-11-13T15:27:32Z,x1062366358837506048,239,24,Why Carson Wince deserves the most blame for the Eagles demise. Next on @undisputed,186,0.707224335,1.413978495,2018-11-17T11:29:00Z,1,0,"",Congratulations @RealSkipBayless on your ratio of 0.71! This is the first time I've scored you. Be aware of your ratio with future tweets!,
x43139414,RealSkipBayless,2018-11-13T15:59:20Z,x1062374362743853056,436,93,"Cowboys at 9-7, Eagles at 8-8, Redskins at 8-8. That’s how my Dallas Cowboys will become the NFC East champions. More @Undisputed, now on FS1 https://t.co/YW6KbFYOC9",292,0.551984877,1.811643836,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T16:44:35Z,x1062023362061328390,95,12,Why I had a problem with Tyreek Hill's TD celebration. Next on @undisputed,56,0.523364486,1.910714286,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-16T02:56:54Z,x1063264621467824129,1686,353,"If only Tom Brady had Aaron Rodgers' receiving corps &amp; run game. If only Brady had a Davante, a J Graham, an Aaron Jones, a Valdes-Scantling, an Equanimeous, even a Tonyan. If only Brady had a defense like the Pack Sack Attack. (Brady is 7-3, Rodgers 4-4-1 with a loss to Brady).",1024,0.502206964,1.991210937,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T16:31:12Z,x1062019994429480962,269,18,Why I still like the Cowboys to win the NFC East (by default). Next on @undisputed,143,0.49825784,2.006993007,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-13T14:23:57Z,x1062350358637236225,163,15,"Why I don't love the Cowboys, but I still like them to win the NFC East. @undisputed. 9:30 AM ET. FS1",80,0.449438202,2.225,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T04:59:25Z,x1061845900157308929,1383,272,Tyson Chandler just got away with a goal-tend on Trae Young's last scoop shot.,732,0.442296073,2.260928962,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-14T14:20:43Z,x1062711931948032001,181,35,Now there's only one way for the Warriors to keep KD: trade Draymond. @undisputed. 9:30 AM ET. FS1,91,0.421296296,2.373626374,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-14T14:57:16Z,x1062721130664882176,364,22,Why Le'Veon blew it. And why the Cowboys should pay Dak franchise QB money. Next on @undisputed,158,0.409326425,2.443037975,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T03:37:52Z,x1061825377201319936,376,39,If only Dallas had an Ertz. Or a Dallas Goedert.,167,0.402409639,2.48502994,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T15:59:45Z,x1062012078381195265,152,15,No way the Pats get back to the Super Bowl? Next on @undisputed,67,0.401197605,2.492537313,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T15:41:10Z,x1062007401316929537,173,12,Why I give Dak the bulk of the credit for last night's win at Philly. Next on @undisputed,73,0.394594595,2.534246575,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-16T16:31:31Z,x1063469626426712064,148,13,Cowboy Haters alert: Shannon and Rob Parker are about to try to explain to me why the Cowboys won't win the NFC East. Next on @undisputed,59,0.366459627,2.7288135590000002,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-15T14:57:10Z,x1063083491397525504,196,16,Is Tom Brady washed up? How impressive was LeBron passing Wilt? Next on Undisputed.,77,0.363207547,2.753246753,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-16T03:56:15Z,x1063279557149511680,328,30,Good throw by Aaron Rodgers to a top 10 receiver. Slightly underthrown. Great concentration by Davante to haul it in despite a near breakup by Shaq Griffin. Huge play.,130,0.363128492,2.753846154,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-13T15:44:18Z,x1062370576734416896,383,66,Why Melo would make the Sixers even better. Next on @undisputed,161,0.35857461,2.788819876,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T03:12:57Z,x1061819105794093056,901,84,If only Dak had an Ertz.,335,0.340101523,2.940298507,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-13T01:32:54Z,x1062156317173809152,1103,131,"As a Cowboy fan, I sure hope the Eagles don't go back to Nick Foles. That would be trouble for Dallas and Washington.",392,0.317666126,3.147959184,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-13T16:54:04Z,x1062388135756066816,389,87,"With Jimmy Butler, the 76ers now have 3 of the Top 6 players in the East. Adding Melo would bring this team some credentials – he’s been there, done that. More @Undisputed, now on FS1 https://t.co/8GJIDHxYJw",142,0.298319328,3.352112676,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-15T23:36:58Z,x1063214306303467520,26,5,Today's Undisputed podcast: https://t.co/AsfiWOjYyJ,9,0.290322581,3.444444444,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-15T14:22:47Z,x1063074840792322049,326,26,"Uh-oh, NOW what can I say about LeBron??? 9:30 E. Undisputed. FS1.",97,0.275568182,3.628865979,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-14T15:27:37Z,x1062728769587146752,118,8,Shannon and I are about to give LeBron a grade for his first 13 Laker games. Next on @undisputed,33,0.261904762,3.818181818,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T14:56:24Z,x1061996137781940225,280,23,Why yesterday wasn’t Brady’s fault. And why Brees is now the NFL’s MVP. Next on @undisputed,79,0.260726073,3.835443038,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T02:29:39Z,x1061808212041641984,401,67,"Dak doesn't have much protection, hasn't had a receiver who can get open (pre-Amari), hasn't had a consistent run game or play calling ... and his confidence is crumbling. He's getting double-pumping hesitant and gunshy.",121,0.258547009,3.867768595,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-16T02:27:50Z,x1063257304735174656,1202,280,Blind Witnesses: You're really throwing a parade for LeBron for passing Wilt Chamberlain on the scoring list? LeBron has played 112 more games than Wilt did!,373,0.25168691,3.973190349,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-13T22:00:43Z,x1062465305652252672,30,2,Today's Undisputed podcast: https://t.co/AsfiWOjYyJ,8,0.25,4,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T14:24:07Z,x1061988013981351937,373,33,Shannon Sharpe is about to get an earful about my Cowboys. @undisputed. 9:30 AM ET. FS1,100,0.246305419,4.06,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T16:54:14Z,x1062025791909715969,197,31,"I tried to feed the fires of overconfidence in Philadelphia. The Eagles front-run, and right on schedule they fall on their faces. More @Undisputed, now on FS1 https://t.co/HSWboLM2UZ",55,0.24122807,4.145454545,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-16T16:45:21Z,x1063473106537205761,164,15,Why aren't the refs treating LeBron with more respect? Next on @undisputed,42,0.234636872,4.261904762,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-15T02:39:00Z,x1062897725971214338,738,170,"If the Warriors trust DCousins health the second half of this season, they should trade Draymond. More trouble than he's worth. Salvage this season and increase chances KD stays, at least next year. Draymond called KD a name you can't take back.",208,0.22907489,4.365384615,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-16T16:56:16Z,x1063475854880063488,223,50,"The Warriors have DeMarcus Cousins on ice for January, and when he comes back, it makes Draymond Green expendable in this equation. More @Undisputed, now on FS1 https://t.co/pbRaPhQLxc",62,0.227106227,4.403225806,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T02:23:48Z,x1061806738981060610,374,54,I will be surprised if the Cowboys get 7 points out of this.,92,0.214953271,4.652173913,2018-11-17T11:29:00Z,1,0,"","",
x43139414,RealSkipBayless,2018-11-12T04:11:24Z,x1061833816640151552,294,31,Just one mistake.,69,0.212307692,4.710144928,2018-11-17T11:29:00Z,1,0,"","",
