user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,timestamp_scrape,considered,posted,status_id_post,text_post,timestamp_post
x43139414,RealSkipBayless,2018-11-13T15:27:32Z,x1062366358837506048,239,24,Why Carson Wince deserves the most blame for the Eagles demise. Next on @undisputed,186,0.707224335,2018-11-17T11:29:00Z,1,1,"",Congratulations @RealSkipBayless on your ratio of 0.71! This is the first time I've scored you. Be aware of your ratio with future tweets!,2018-11-17T23:02:32Z
x43139414,RealSkipBayless,2018-11-13T15:59:20Z,x1062374362743853056,436,93,"Cowboys at 9-7, Eagles at 8-8, Redskins at 8-8. That’s how my Dallas Cowboys will become the NFC East champions. More @Undisputed, now on FS1 https://t.co/YW6KbFYOC9",292,0.551984877,2018-11-17T11:29:00Z,1,0,"","",2018-11-17T23:02:32Z
x43139414,RealSkipBayless,2018-11-12T16:44:35Z,x1062023362061328390,95,12,Why I had a problem with Tyreek Hill's TD celebration. Next on @undisputed,56,0.523364486,2018-11-17T11:29:00Z,1,0,"","",2018-11-17T23:02:32Z
x43139414,RealSkipBayless,2018-11-16T02:56:54Z,x1063264621467824129,1686,353,"If only Tom Brady had Aaron Rodgers' receiving corps &amp; run game. If only Brady had a Davante, a J Graham, an Aaron Jones, a Valdes-Scantling, an Equanimeous, even a Tonyan. If only Brady had a defense like the Pack Sack Attack. (Brady is 7-3, Rodgers 4-4-1 with a loss to Brady).",1024,0.502206964,2018-11-17T11:29:00Z,1,0,"","",2018-11-17T23:02:32Z
x43139414,RealSkipBayless,2018-11-12T16:31:12Z,x1062019994429480962,269,18,Why I still like the Cowboys to win the NFC East (by default). Next on @undisputed,143,0.49825784,2018-11-17T11:29:00Z,1,0,"","",2018-11-17T23:02:32Z
x43139414,RealSkipBayless,2018-11-13T14:23:57Z,x1062350358637236225,163,15,"Why I don't love the Cowboys, but I still like them to win the NFC East. @undisputed. 9:30 AM ET. FS1",80,0.449438202,2018-11-17T11:29:00Z,1,0,"","",2018-11-17T23:02:32Z
x43139414,RealSkipBayless,2018-11-12T04:59:25Z,x1061845900157308929,1383,272,Tyson Chandler just got away with a goal-tend on Trae Young's last scoop shot.,732,0.442296073,2018-11-17T11:29:00Z,1,0,"","",2018-11-17T23:02:32Z
x43139414,RealSkipBayless,2018-11-14T14:20:43Z,x1062711931948032001,181,35,Now there's only one way for the Warriors to keep KD: trade Draymond. @undisputed. 9:30 AM ET. FS1,91,0.421296296,2018-11-17T11:29:00Z,1,0,"","",2018-11-17T23:02:32Z
x43139414,RealSkipBayless,2018-11-14T14:57:16Z,x1062721130664882176,364,22,Why Le'Veon blew it. And why the Cowboys should pay Dak franchise QB money. Next on @undisputed,158,0.409326425,2018-11-17T11:29:00Z,1,0,"","",2018-11-17T23:02:32Z
x43139414,RealSkipBayless,2018-11-12T03:37:52Z,x1061825377201319936,376,39,If only Dallas had an Ertz. Or a Dallas Goedert.,167,0.402409639,2018-11-17T11:29:00Z,1,0,"","",2018-11-17T23:02:32Z
