user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape
x21129105,bomani_jones,2018-11-09T13:57:08Z,x1060894056753102849,0,0,@martialallstar okay buddy,1,Inf,0,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T19:44:58Z,x1060981594549374976,2,0,@bhughesisnext when did i do that?,1,0.5,2,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T03:34:54Z,x1060737469157687297,21,1,you'd prefer he go high? https://t.co/DvGkLQdnjd,9,0.4090909090909091,2.444444444444444,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T21:47:17Z,x1061012376181526529,18,0,"while that's a, yanno, obvious point, there's a bit of disagreement on just what their problem was with marcus peters.

you wanna expound on this or nah? https://t.co/VBjZHl2cGv",7,0.3888888888888889,2.571428571428571,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T03:30:39Z,x1060736396535742464,25,9,also that one. i don't recall that being of the same magnitude as this one. i hadn't even considered ejection until the broadcasters talked about it. https://t.co/4ABDEJEmkw,13,0.38235294117647056,2.6153846153846154,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T03:29:14Z,x1060736040925839360,18,0,i recall that play being a bit more egregious. but it was an ejection. forgot that one. https://t.co/wvBopQiVyY,6,0.3333333333333333,3,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T03:39:00Z,x1060738497982722048,13,3,likely miss the sliding qb. or get there just in time to hit him in the head. but okay. https://t.co/QSPEQHt7lh,5,0.3125,3.2,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T03:37:59Z,x1060738245611393024,18,2,wait what https://t.co/NmYFg1BpNn,5,0.25,4,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T02:30:04Z,x1060721152887267329,119,18,sad so many of you have forgotten joseph forte already... https://t.co/LEkPbjJfW5,27,0.19708029197080293,5.0740740740740735,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-08T23:37:23Z,x1060677694562672640,51,18,"two podcast notes. first, latest #TheRightTime is a great conversation about the madness of that ncaa trial with the @danwetzel. https://t.co/0TVKw7zJAI https://t.co/Otvr0xkcnZ",13,0.18840579710144928,5.3076923076923075,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T14:35:21Z,x1060903675554619392,70,13,"off the same tweet, i got this clown saying i called the nfl racist and the other thinking i didn't go far enough.

🤷🏾‍♂️ https://t.co/8MUtwr3MDJ",10,0.12048192771084337,8.3,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-08T23:37:47Z,x1060677795804782592,42,0,second podcast note: #TheEveningJones tonight. 8 et.,5,0.11904761904761904,8.4,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T03:27:02Z,x1060735487781060608,553,223,"that's certainly a penalty, but that's an ejection? i ask because i know that's not the first time i've seen a play like this, but the first time i recall it being an ejection.",92,0.11855670103092783,8.434782608695652,2018-11-12T17:48:00Z
x21129105,bomani_jones,2018-11-09T22:15:01Z,x1061019354353983488,130,16,huh https://t.co/jJFI0e8irn,15,0.10273972602739725,9.733333333333334,2018-11-12T17:48:00Z
