user_id,user,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape,considered,posted,status_id_post,text_post,timestamp_post,timestamp_posted
x33537967,amyklobuchar,2018-11-17T18:44:27Z,x1063865467964743680,4178,1401,"As author of Honest Ads Act, need answers re @nytimes reports that Facebook hired partisan firm to spread negative info about its critics (including electeds) to press &amp; online. This is modern-day internet equivalent of hiring thugs to take down your enemies. Pass Honest Ads Act!",84,0.015056461731493099,,2018-11-18T16:27:00Z,0,0,"","",,
x19750789,AndrewBrandt,2018-11-20T05:04:58Z,x1064746398854377477,167,19,Feel for those who had tickets to this game in Mexico City..,20,0.10752688172043011,,2018-11-20T17:16:00Z,0,0,"","",,
x123276343,BarstoolBigCat,2018-11-20T05:12:03Z,x1064748184726118400,1565,31,"Watch it with the Jeff Fisher slander @ESPNBooger. I like you, Let’s not ruin that!",26,0.016290726817042606,,2018-11-20T17:16:00Z,0,0,"","",,
x23513252,beatingthebook,2018-11-20T05:00:23Z,x1064745248075608064,135,8,One of the rare sporting events when the reality lives up to every bit of the hype.,10,0.06993006993006994,,2018-11-20T17:16:00Z,0,0,"","",,
x214175859,BFawkesESPN,2018-11-20T02:01:56Z,x1064700338941423617,1,0,"The #LARams lead 13-7 at the end of 1Q.

They cover the 1Q spread of Rams -0.5 and the quarter goes over total of 13.5",0,0,,2018-11-20T17:16:00Z,0,0,"","",,
x24828894,BigWos,2018-11-20T00:22:29Z,x1064675309457481728,2,0,Westbrook is a rude boy,0,0,,2018-11-20T17:16:00Z,0,0,"","",,
x21897334,billbarnwell,2018-11-20T05:18:08Z,x1064749713415639040,574,40,"I mean, the Saints lost to the Bucs 48-40 https://t.co/4saCb15MK0",36,0.05863192182410423,,2018-11-20T17:16:00Z,0,0,"","",,
x55677432,BillCassidy,2018-11-06T21:18:36Z,x1059917993172447234,23,4,Polls are open for a few more hours! Find where to vote before it's too late: https://t.co/zDliSamzID https://t.co/2eKsAHk7y8,20,0.7407407407407407,,2018-11-18T16:27:00Z,0,0,"","",,
x26103389,BillHaslam,2018-11-15T18:27:31Z,x1063136427624554496,73,13,"Ben was a great public servant who truly only wanted what was best for his community and Tennessee. When I first thought about running for office, Sen. Atchley was one of the first people I went to for advice and the wisdom he shared was some of the best advice I ever received.",3,0.03488372093023256,,2018-11-18T16:27:00Z,0,0,"","",,
x23970102,BillOReilly,2018-11-19T15:11:35Z,x1064536671251763200,3063,839,"A few days ago, thousands of migrants were one thousand miles from the San Diego border.  Suddenly, they’ve arrived.  How?  Magic carpets? Check out the Message of the Day on https://t.co/rryWmyXe7C and watch us tonight on the @NoSpinNews.

https://t.co/ybzKPbEE2H",172,0.044079958995386984,,2018-11-20T17:16:00Z,0,0,"","",,
x32765534,BillSimmons,2018-11-21T03:40:41Z,x1065087578137739265,515,56,Need a few hours to recover from tonight’s final @ChallengeMTV episode. Hold my calls.,54,0.09457092819614711,,2018-11-21T15:30:00Z,0,0,"","",,
x17078632,BobbyJindal,2018-11-07T00:01:41Z,x1059959033992486912,63,10,What will the world look like if Democrats take control of Congress tonight?  A little satire for your election night reading. https://t.co/D1S0t0VDAx,85,1.1643835616438356,,2018-11-18T16:27:00Z,0,0,"","",,
x14738157,BobMcDonnell,2018-05-07T03:46:42Z,x993336292917342208,28,3,"Today during the annual Crush Cancer event to benefit @sloan_kettering cancer research, I was fortunate enough to meet this courageous woman who has battled cancer for over two decades. A textbook definition of strength. https://t.co/Oo5p6ZsXHD",3,0.0967741935483871,,2018-11-18T16:27:00Z,0,0,"","",,
x21129105,bomani_jones,2018-11-20T22:04:14Z,x1065002905810407426,249,99,shame on everyone who didn’t answer “dj paul.” he couldn’t have been clearer. https://t.co/bB19ufzW8C,21,0.0603448275862069,,2018-11-21T05:16:00Z,0,0,"","",,
x66891808,BrianSandoval,2017-06-06T20:18:54Z,x872186054559776768,42,11,Get involved to support the Military Heroines Honor Flight: https://t.co/zONglLRiNP,28,0.5283018867924528,,2018-11-18T16:27:00Z,0,0,"","",,
x47747074,brianschatz,2018-11-19T02:46:33Z,x1064349178455715840,858,193,It’s not a typo. And they are trying to privatize the VA.,21,0.019980970504281638,,2018-11-19T17:41:00Z,0,0,"","",,
x21827185,brianschweitzer,2016-02-01T19:49:00Z,x694246088815935489,16,8,When the circus comes to town... #IowaCaucus #Election2016  https://t.co/NEEBG167Ie,1,0.041666666666666664,,2018-11-18T16:27:00Z,0,0,"","",,
x438550809,Buck,2018-11-19T02:36:42Z,x1064346699806588929,304,60,Hi everyone! Join me and my friend Tim Green #TackleALS! This is a beatable disease that just needs the funding. Click this link to join my team! https://t.co/27FHpdBSTX,7,0.019230769230769232,,2018-11-19T17:41:00Z,0,0,"","",,
x36396752,ButchOtter,2018-11-09T22:17:11Z,x1061019898053189634,11,4,I would like to thank the @BoiseChamber where I gave a farewell address to the business community today.  I have enjoyed the many years we have worked together and wish them a bright and prosperous future. #idahome https://t.co/8Qw0onTisi,2,0.13333333333333333,,2018-11-18T16:27:00Z,0,0,"","",,
x194784415,bykevinclark,2018-11-20T17:06:40Z,x1064928019918274566,70,9,How Patrick Mahomes saved the deep pass:  https://t.co/LbG7Q26WAi,0,0,,2018-11-21T15:30:00Z,0,0,"","",,
x25471833,CariChampion,2018-11-20T06:54:02Z,x1064773849697251328,615,72,Happy 60th bday @RealMikeWilbon .. you’ve always been a role model and now a real model... https://t.co/0d83DpOVll,18,0.026200873362445413,,2018-11-20T17:16:00Z,0,0,"","",,
x55424198,chadfordinsider,2017-07-01T16:01:00Z,x881180847251931136,5385,584,Aloha means goodbye. Covering the NBA for ESPN fulfilled a life-long dream. Grateful to the game &amp; the people in it that changed my world,236,0.039537610990115594,,2018-11-18T15:33:00Z,0,0,"","",,
x33769830,chadmillman,2018-11-19T17:14:12Z,x1064567528687587330,5,1,"This is two minutes of pure comedy. Your angry voicemails to our @ActionColleges podcast. I mean, very angry. But funny.
https://t.co/5DtXc8TFqw",0,0,,2018-11-20T17:16:00Z,0,0,"","",,
x42040091,Chris_Broussard,2018-11-17T20:23:32Z,x1063890400430063616,1100,213,"Yo, Ohio State’s defense is ATROCIOUS!!!!",66,0.050266565,19.89393939,2018-11-18T06:07:00Z,0,0,"","",,
x57710919,ChrisBHaynes,2018-11-19T17:48:51Z,x1064576250507812865,1160,233,Orlando Magic forward Aaron Gordon (@Double0AG) is providing 400 Oakland-area families with turkeys and side items for a Thanksgiving meal. The food will be distributed today at New Hope Baptist Church from 11am-2pm.,8,0.00574300071787509,,2018-11-20T17:16:00Z,0,0,"","",,
x15324851,ChrisCoons,2018-11-17T20:32:44Z,x1063892718194225152,253,49,"Honored to spend time with @cindymccain here in Halifax. Just like John, Cindy is an inspiring, important voice for American values at home and around the world. https://t.co/p0NQvAUSq8",11,0.03642384105960265,,2018-11-18T16:27:00Z,0,0,"","",,
x150078976,ChrisMurphyCT,2018-11-18T16:11:00Z,x1064189236012871680,4531,667,Connecticut has led the way on reducing homelessness. I'm proud to help secure a new $6.5M grant that will help us get closer to the goal of ending youth homelessness in our state.,106,0.020392458637937667,,2018-11-19T17:41:00Z,0,0,"","",,
x24742737,ChrisRyan77,2018-11-16T02:51:03Z,x1063263149489500160,11,1,"New @thewatchpod! @andygreenwald on streaming/digital giants pairing with indie studios, plus an awesome conversation with #NarcosMexico exec producer Eric Newman on the new season of the show https://t.co/dbj0OgmH1z",1,0.08333333333333333,,2018-11-18T16:27:00Z,0,0,"","",,
x18137749,ChrisVanHollen,2018-11-16T20:58:53Z,x1063536908041691136,212,67,"Maybe someone should tell Trump that the Senate races are another example of where the GOP fell short of expectations. Last year, Republicans were talking about winning 60 seats in the Senate. Instead, they lost in 8 states Trump won, and picked up no seats in states he lost. https://t.co/iriEuMc5uI",22,0.07885304659498207,,2018-11-18T16:27:00Z,0,0,"","",,
x43399264,ChrisWesseling,2018-11-20T08:32:31Z,x1064798631411105793,10,0,How are you going to keep them on the other side of the pond once they’ve experienced Chiefs-Rams and the legendary @HinanoVenice 🍔? https://t.co/bugkKBMYMj,1,0.1,,2018-11-20T17:16:00Z,0,0,"","",,
